ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Courier_ID
1,D,Flight,4,2,177,3,low,F,44,1233,1,Courier_4
2,F,Flight,4,5,216,2,low,M,59,3088,1,Courier_5
3,A,Flight,2,2,183,4,low,M,48,3374,1,Courier_3
4,B,Flight,3,3,176,4,medium,M,10,1177,1,Courier_5
5,C,Flight,2,2,184,3,medium,F,46,2484,1,Courier_5
6,F,Flight,3,1,162,3,medium,F,12,1417,1,Courier_2
7,D,Flight,3,4,250,3,low,F,3,2371,1,Courier_3
8,F,Flight,4,1,233,2,low,F,48,2804,1,Courier_3
9,A,Flight,3,4,150,3,low,F,11,1861,1,Courier_3
10,B,Flight,3,2,164,3,medium,F,29,1187,1,Courier_5
11,C,Flight,3,4,189,2,medium,M,12,2888,1,Courier_4
12,F,Flight,4,5,232,3,medium,F,32,3253,1,Courier_3
13,D,Flight,3,5,198,3,medium,F,1,3667,1,Courier_5
14,F,Flight,4,4,275,3,high,M,29,2602,1,Courier_2
15,A,Flight,4,3,152,3,low,M,43,1009,1,Courier_4
16,B,Flight,4,3,227,3,low,F,45,2707,1,Courier_2
17,C,Flight,3,4,143,2,medium,F,6,1194,1,Courier_4
18,F,Ship,5,5,227,3,medium,M,36,3952,1,Courier_5
19,D,Ship,5,5,239,3,high,M,18,2495,1,Courier_1
20,F,Ship,4,5,145,3,medium,M,45,1059,1,Courier_4
21,A,Ship,3,3,161,2,medium,F,38,1521,1,Courier_2
22,B,Ship,3,1,232,4,medium,F,51,2899,1,Courier_5
23,C,Ship,2,5,156,2,low,M,2,1750,1,Courier_4
24,F,Ship,4,3,211,3,high,M,12,3922,1,Courier_1
25,D,Ship,4,5,251,2,medium,F,28,3561,1,Courier_1
26,F,Ship,3,1,225,4,low,M,29,3496,1,Courier_3
27,A,Ship,4,1,172,3,high,F,24,1066,1,Courier_3
28,B,Ship,5,1,162,3,medium,M,31,1435,1,Courier_2
29,C,Ship,2,3,234,4,low,M,44,3134,1,Courier_4
30,F,Ship,5,4,183,2,low,F,36,3819,1,Courier_4
31,D,Ship,3,4,266,2,medium,F,38,2741,1,Courier_3
32,F,Ship,5,3,257,2,low,F,61,3341,1,Courier_4
33,A,Ship,3,1,223,3,low,F,22,3795,1,Courier_4
34,B,Ship,4,2,234,3,medium,M,4,3261,1,Courier_1
35,C,Ship,4,2,227,4,medium,F,22,2460,1,Courier_3
36,F,Ship,5,4,149,3,medium,F,44,1811,1,Courier_5
37,D,Ship,3,5,137,4,high,F,62,1477,1,Courier_3
38,F,Ship,2,4,181,6,medium,F,16,3605,1,Courier_5
39,A,Ship,5,1,215,4,low,F,56,3905,1,Courier_1
40,B,Ship,4,2,269,5,low,F,45,2383,1,Courier_2
41,C,Ship,5,1,227,2,low,M,15,3798,1,Courier_4
42,F,Ship,5,5,139,4,medium,M,61,1265,1,Courier_1
43,D,Ship,3,5,137,2,medium,M,38,1647,1,Courier_4
44,F,Ship,3,1,174,2,low,M,44,1556,1,Courier_2
45,A,Ship,3,1,151,2,low,M,29,1328,1,Courier_2
46,B,Ship,5,1,210,3,low,F,9,2944,1,Courier_1
47,C,Ship,3,4,169,4,medium,F,32,1245,1,Courier_2
48,F,Ship,5,1,160,2,low,M,32,1576,1,Courier_5
49,D,Ship,5,4,190,2,medium,M,9,3753,1,Courier_2
50,F,Ship,5,3,216,3,low,F,40,2146,1,Courier_4
51,A,Ship,4,1,183,3,low,M,37,2042,1,Courier_4
52,B,Ship,4,4,141,3,low,M,22,1735,1,Courier_4
53,C,Ship,4,3,165,3,low,F,44,1320,1,Courier_4
54,F,Ship,2,1,170,3,low,M,41,1128,1,Courier_5
55,D,Ship,4,3,203,3,high,M,12,3539,1,Courier_3
56,F,Ship,2,5,246,5,low,M,46,2437,1,Courier_1
57,A,Ship,3,3,238,3,low,F,61,3096,1,Courier_4
58,B,Ship,3,3,193,3,medium,F,29,3453,1,Courier_2
59,C,Ship,5,5,141,3,high,M,41,1367,1,Courier_4
60,F,Ship,4,1,150,3,high,F,17,1923,1,Courier_2
61,D,Ship,3,1,221,3,low,F,64,2794,1,Courier_2
62,F,Ship,3,3,179,3,medium,M,52,1158,1,Courier_4
63,A,Ship,5,1,105,6,medium,M,62,1292,1,Courier_5
64,B,Ship,3,1,177,3,medium,M,61,1880,1,Courier_2
65,C,Ship,4,5,261,2,high,M,49,3045,1,Courier_2
66,F,Ship,3,2,202,3,low,M,49,2881,1,Courier_4
67,D,Ship,3,2,109,3,medium,F,15,1710,1,Courier_2
68,F,Ship,3,3,158,3,low,F,6,1878,1,Courier_2
69,A,Ship,4,2,231,4,medium,F,6,2512,1,Courier_4
70,B,Ship,3,5,206,3,medium,M,39,2929,1,Courier_4
71,C,Ship,5,1,187,4,high,M,14,3849,1,Courier_1
72,F,Ship,5,5,230,2,low,F,2,2229,1,Courier_5
73,D,Ship,5,5,232,3,medium,F,33,2998,1,Courier_5
